Name,Id,Latitude,Longtitude,Categories,City,Longtitude_equidistant,Neighborhood_label
Oakmere Alpacas,5d80cc39f839d20008e3c376,53.238977,-2.643162,Farm,"Manchester, England-0-0",-1.5818762655687508,389
Yoga In Cheshire (Cuddington),4ffb0ffae4b0903669e5c890,53.23918351908966,-2.5976515899350496,Yoga Studio,"Manchester, England-0-0",-1.55463175152727,389
Cuddington And Sandiway Playground,4c0a24e2009a0f47dde9e8bf,53.239077294771356,-2.5974193852608742,Park,"Manchester, England-0-0",-1.5544966405457088,389
Speedwell Hill,4ddfb889814d4840097e4554,53.240604321181706,-2.5608571265597453,Hill,"Manchester, England-0-0",-1.5325602781069176,680
Weaverham Road Playing Fields,5164446ce4b02d37ed664e47,53.238711665676576,-2.5927789336682485,Park,"Manchester, England-0-0",-1.551732690766395,389
CEMEX Forest Hill Quarry and Bagging Plant,5b59e4f2835c9a0039cf7126,53.238421,-2.580915,Construction & Landscaping,"Manchester, England-0-0",-1.544642824056942,389
Littledales Lane Bus Stop,5883517158c4d170e3b71697,53.238622295233895,-2.5696784600791696,Bus Stop,"Manchester, England-0-0",-1.5379106738328336,680
Sandiway Golf Club,52458780498e654beb3d1eb0,53.23665038861096,-2.5715245689591497,Golf Course,"Manchester, England-0-0",-1.539086441256793,680
The Forrest View,4dfe102aae6033b2a479e983,53.23619605362586,-2.6317067339751143,Beer Garden,"Manchester, England-0-0",-1.5751228634026746,389
Budworth Sailing Club,504c96c4e4b03c3db1c8cb57,53.289912,-2.510341,Harbor / Marina,"Manchester, England-0-1",-1.5005972648617936,77
Pickmere,4e3aeea288772c3bf1286096,53.289331485395024,-2.470402311454479,Lake,"Manchester, England-0-1",-1.4767433281797078,637
Pickmere,5342d4e5498e1b0e25b2d057,53.289285943869245,-2.470251133286129,Lake,"Manchester, England-0-1",-1.476654531786521,637
Open Air Swimming Pool At Marbury Park,4dbe90b91e72b351cae33450,53.283494,-2.524139,Pool,"Manchester, England-0-1",-1.5090719007831972,77
Marbury Country Park,4bedad97946c0f4755c1a263,53.283301314074144,-2.5229191433432674,Park,"Manchester, England-0-1",-1.5083494033041176,77
Tailormade Solutions,5a2ad6eb26659b5f8ca9c580,53.28386460000001,-2.4912425,Furniture / Home Store,"Manchester, England-0-1",-1.4893916106253922,637
Barnton Cricket Club,4c4c49c09e6dbe9ac95f430d,53.278306402359284,-2.552908273736981,Cricket Ground,"Manchester, England-0-1",-1.5264570645720552,902
Loony Lin,4cfb7c2bee9cb60cfe8790ad,53.278314,-2.492691,Furniture / Home Store,"Manchester, England-0-1",-1.4904511648577587,637
SM Home Improvements,57c79af0498e8a162683c024,53.27702300000001,-2.5568596,Construction & Landscaping,"Manchester, England-0-1",-1.5288655823025905,902
Prestige Hot Tub Hire,5d8971d6c41c170007db486c,53.27748055886989,-2.5346767902374268,Spa,"Manchester, England-0-1",-1.5155852214555328,77
Anderton Marina,4c3cc684a9509c745748395b,53.27731376327439,-2.5266408920288086,Harbor / Marina,"Manchester, England-0-1",-1.510786130271846,77
The Moorings,567d33c2498ecedadec7741e,53.27731,-2.5265577,English Restaurant,"Manchester, England-0-1",-1.5107365192308562,77
Barnton,4bf9abdf5efe2d7f15a56c34,53.27540836761767,-2.5583524400317765,Skate Park,"Manchester, England-0-1",-1.5298160079258714,902
Woodlands Garage,4ec6349a6da1d1092d0473f9,53.27524981758152,-2.5584097607599716,Gas Station,"Manchester, England-0-1",-1.5298559584519928,902
Barnton FC,5737377f498e57bcfcec3cbf,53.27496800000001,-2.5457400000000003,Soccer Field,"Manchester, England-0-1",-1.5222898396713225,77
Green Dragon,4d56d0e79e508cfa8011139b,53.275473,-2.507164,Pub,"Manchester, England-0-1",-1.4992046296115986,77
The Salt Barge,4bf944a45ec320a1b7e889d3,53.275004,-2.49631935,Pub,"Manchester, England-0-1",-1.4927362506267692,637
Lion Salt Works,52a8923411d2d7635b8959ed,53.27540198265749,-2.49514102935791,History Museum,"Manchester, England-0-1",-1.4920177529830974,637
Northwich Plumbing Supplies Ltd,57f7a268498ec6d14bd8b40b,53.27543816469059,-2.483665044310669,Furniture / Home Store,"Manchester, England-0-1",-1.4851542090320347,637
Bowers Threeways Garage,563dd825cd10e4161d3eeede,53.274733,-2.482325,Auto Garage,"Manchester, England-0-1",-1.4843773915122487,637
The Beech Tree,500c16efe4b0f6804f2f5088,53.273564,-2.5560110000000003,Pub,"Manchester, England-0-1",-1.5284818460393164,902
Stanley Arms,4c2e2989260bc92846381bd3,53.27377882662986,-2.532123327255249,Pub,"Manchester, England-0-1",-1.514189527257488,77
Anderton Boat Lift,4c3077ba213c2d7f1281325d,53.27347947600065,-2.5299697942890664,History Museum,"Manchester, England-0-1",-1.5129123261501378,77
Lion Saltworks,5b582cfd2be425002c42ab5e,53.27448,-2.49632,Music Venue,"Manchester, England-0-1",-1.4927549379583305,637
Anderton Nature Park,53664dbd498efc83232d14ae,53.272727,-2.53021,Nature Preserve,"Manchester, England-0-1",-1.5130826017017798,77
Queenie B's Beauty,58d14a255289300da63f5114,53.2723801,-2.492691499999978,Health & Beauty Service,"Manchester, England-0-1",-1.4906583824711819,637
Adapt Environment,5d977d7f050527000845063d,53.27219760000001,-2.555118900000025,Construction & Landscaping,"Manchester, England-0-1",-1.5279972135859288,902
Co-op Food,504f65787e27022f969b6266,53.272193411123716,-2.5456612151788955,Grocery Store,"Manchester, England-0-1",-1.522341533564304,77
Well Barnton - Oakwood MC,5204f92a498e5f1cf9ede790,53.27187132580421,-2.5451883177909167,Pharmacy,"Manchester, England-0-1",-1.5220702015629481,77
A & E Leisure,5d2623009df1dc0023232eef,53.27200216795209,-2.535449177909868,Outdoor Supply Store,"Manchester, England-0-1",-1.5162413732205198,77
Northwich Victoria Football Stadium,4b993e08f964a520e56c35e3,53.27130868832858,-2.4836182594299316,Soccer Field,"Manchester, England-0-1",-1.4852697026202175,637
The Barn Owl,4e8579415503b4de73324b3c,53.270606716892175,-2.5453441359104434,Pub,"Manchester, England-0-1",-1.5222084104401599,77
Ashton and Neumann's Flashes,4fb11f4be4b03338fbc115c8,53.2703719232314,-2.501084804534912,Park,"Manchester, England-0-1",-1.495747934262355,77
Witton Albion FC,4d8e23e4c1b1721ee6022946,53.27053874591525,-2.488811016082764,Soccer Stadium,"Manchester, England-0-1",-1.4884019140704015,637
