Name,Id,Latitude,Longtitude,Categories,City
Kuntokolmonen,4bf6aa465efe2d7fca8a6734,61.510763023416004,23.7908935546875,Trail,"Tampere, Finland"
Kaupin Vinttikoirarata,4f81e57de4b02f4581623e44,61.51074313937261,23.798199622138576,Dog Run,"Tampere, Finland"
Pumppari,4e3d95ba7d8b0e96106bc4ce,61.510465300282576,23.80416858249731,Campground,"Tampere, Finland"
Kaupin Hiihtostadion,4ba8754af964a520d2db39e3,61.51071288813071,23.806287285969855,Ski Chalet,"Tampere, Finland"
Kilpavitonen,4ca35bb1b0ff8cfabc8db65e,61.51064830569268,23.80639869725821,Trail,"Tampere, Finland"
Kaupin Koirarata,4dcb7d512271f5e21d78545d,61.51045738442584,23.80614864607893,Dog Run,"Tampere, Finland"
Kaupin Jousiammuntarata,4df08878d16486e86e5072c7,61.51050917872741,23.80651588436729,Sports Club,"Tampere, Finland"
Kaupin urheilupuisto,4b9a3557f964a52093a435e3,61.5101373151651,23.808251020562967,Recreation Center,"Tampere, Finland"
siipiweikot,57373d21498eac23d687bde0,61.51057,23.701903,Fried Chicken Joint,"Tampere, Finland"
SilverHawk 540,4c404052af052d7f8f757b79,61.510026,23.710291,Boat or Ferry,"Tampere, Finland"
Lindan Punttis,4f3fe64ce4b020913caf2dbe,61.509877661825314,23.71729873701077,Gym,"Tampere, Finland"
French Riviera (Côte d'Azur),4d9f149da77d816ec8a8f908,61.50999436856318,23.768470658572607,Beach,"Tampere, Finland"
K-Market,58d96ae3102f4722b7005f2c,61.509089,23.778961,Grocery Store,"Tampere, Finland"
Vesitornin Kenttä,4dcb7cfc7d8b84bcd5560652,61.50964144984413,23.79419778133492,Baseball Field,"Tampere, Finland"
Kaupin rata,4f571ed6e4b0d00bd5fa2ada,61.509413680579726,23.79690044877595,Track,"Tampere, Finland"
Lapinniemen aallonmurtaja,4fc21c1ce4b0a3bda103b605,61.50968815709531,23.769187087542445,Harbor / Marina,"Tampere, Finland"
Renöö,57939f4d498eeafb239f06a9,61.5095,23.769974,Cruise,"Tampere, Finland"
Bussipysäkki 5015 Naistenlahti,4f190b96e4b09188281a0828,61.508915775538966,23.777848756688623,Bus Stop,"Tampere, Finland"
Kaupin Metsät,4fe1ed52e4b03d2693aa5b29,61.508814781548786,23.789964467152675,Trail,"Tampere, Finland"
Kaupin Tenniskentät,4cef54c8d7268cfa8b9fce4e,61.50806824285181,23.80792302747005,Tennis Court,"Tampere, Finland"
Kaupin jalkapallokentät / Football fields,4e436dae7d8bee2823912ce9,61.50867293366372,23.809487152717534,Soccer Field,"Tampere, Finland"
Kaupin Pesäpallostadion,4dc528de1f6ef43b8a0d9ca8,61.50824696521556,23.8119673598943,Baseball Stadium,"Tampere, Finland"
Bikini Bar,4c2a35a4fe6e2d7fc70f563c,61.50733837784567,23.71100583171955,Bar,"Tampere, Finland"
Santalahden Satama,4c3e6fda1ef0d13a9d639280,61.50756416706688,23.71326239644519,Harbor / Marina,"Tampere, Finland"
Soukkapuisto,5379b96e498e79755301359b,61.50707900766904,23.76910480344072,Park,"Tampere, Finland"
Bussipysäkki 5025,4f3fd772e4b00d12ef9d40ec,61.507424930688046,23.79024645046953,Bus Stop,"Tampere, Finland"
Kaupin keilahalli,4d3ee519557d6dcb12285344,61.507000634839784,23.80700163646286,Bowling Alley,"Tampere, Finland"
Norlandia Care Hotel,4f071ffce4b0cc066ad03b52,61.507145,23.8162733,Hotel,"Tampere, Finland"
T-Osat,4daff89f93a06157683b0114,61.506838272914685,23.7027878881508,Auto Garage,"Tampere, Finland"
sellu's cafe,4d4c55a02d0d8cfa028fce25,61.505969297785995,23.707762041280628,Café,"Tampere, Finland"
Kokkipoika,4bc2abc3b492d13a42dfa760,61.5065001227111,23.71189743274663,Restaurant,"Tampere, Finland"
Hurricane,5002b33be4b031e9cb73479d,61.50624300000001,23.743938,Theme Park Ride / Attraction,"Tampere, Finland"
Possujuna,4e465375b61c03d0cd09cea2,61.506323,23.744605,Theme Park Ride / Attraction,"Tampere, Finland"
Viikinkilaiva (Wiking),4e303e76483b93c2f2e76b52,61.506120303275395,23.743899171535112,Theme Park Ride / Attraction,"Tampere, Finland"
Angry Birds Land,4f9fb961e4b061430e135409,61.506557842472716,23.74546938191809,Theme Park Ride / Attraction,"Tampere, Finland"
Särkkä,4e1c3ca7483bf2b0dbb744ad,61.50608799629594,23.744466519054928,Restaurant,"Tampere, Finland"
Crazy Bus,4e147db97d8b4c0d630ee3f6,61.50640174829844,23.745500224193663,Theme Park Ride / Attraction,"Tampere, Finland"
MotoGee,4e148137fa7622d439eabdde,61.50582972608297,23.74319068898354,Theme Park Ride / Attraction,"Tampere, Finland"
Pikku Hinaaja,4e147fcf62e14518a925efc5,61.506513357716656,23.745959186485504,Theme Park Ride / Attraction,"Tampere, Finland"
Auto Racing,51b42aa3498e4c7037bb820b,61.50574796886478,23.74328359050267,Theme Park Ride / Attraction,"Tampere, Finland"
Vauhtimato,51752637e4b076a9c962acf4,61.50628991276483,23.74631836717321,Theme Park Ride / Attraction,"Tampere, Finland"
Burgers,4df8b6c388778675b5495476,61.50626303808846,23.74864061243691,Fast Food Restaurant,"Tampere, Finland"
Käsiala,55252210498e10b55774f879,61.50614229543427,23.768002928358232,Massage Studio,"Tampere, Finland"
Pub Armo,4cd487d5fb718eec45a34a88,61.50619171884064,23.769913721030086,Pub,"Tampere, Finland"
Petsun Kenttä,4d49126b9526b60c488974ee,61.50658899378178,23.791246936659988,Hockey Field,"Tampere, Finland"
Petsamonpuisto,4e34f31c483bf3839a2a2912,61.50660598936592,23.792032220165893,Playground,"Tampere, Finland"
Yläparkkis,4e3332e6a809117a2287f5d5,61.50550784390934,23.70454765128741,Campground,"Tampere, Finland"
Pispala,4d9f4268640b5481b8afdc2d,61.50525601238802,23.708109855651852,Neighborhood,"Tampere, Finland"
Bussipysäkki 1508,4f085a9fe4b0803b68af60f2,61.50505116401308,23.709531178597388,Bus Stop,"Tampere, Finland"
Terassi Pub Yläkerta,4df2753952b100c2d7f702be,61.5046601607221,23.711899054462627,Bar,"Tampere, Finland"
Onkiniemen Nurmi,4df0df0a52b1faff6325f845,61.505043480060756,23.72313747228414,Soccer Field,"Tampere, Finland"
Onkiniemen R.I.P Skate park,4f6b2473e4b0803c8aa8cfa7,61.50478451500211,23.72487539529664,Park,"Tampere, Finland"
Cafe Sara,5163df7de4b083136f828b9f,61.505376991994346,23.740864019605976,Café,"Tampere, Finland"
Sara Hildénin taidemuseo,4c18c26750389c74498eb3cf,61.50525841887503,23.740742018901358,Art Museum,"Tampere, Finland"
Akvaario,4e9e98a3b80311ce2096d9c2,61.504917682488966,23.742941513905787,Aquarium,"Tampere, Finland"
Pelitorin grilli,4fd1decae4b0a1f870c584f3,61.50558090209961,23.74498748779297,Snack Place,"Tampere, Finland"
Ravintola Näsinneula,4bda72b7c4e5952132b66a08,61.50497449399049,23.743354082107547,Scandinavian Restaurant,"Tampere, Finland"
Ravintola Huvimaja,4e15a264b61c42e7c54c9cd4,61.50497050978946,23.743110704318017,Restaurant,"Tampere, Finland"
Näsinneula,4c0e7f5a75f99c743075ecc4,61.504895845291216,23.743131700260285,Scenic Lookout,"Tampere, Finland"
Planetaario,4c82083d51ada1cddba21810,61.50472206260126,23.74291781846713,Planetarium,"Tampere, Finland"
Karamelli Karuselli,5006ae1de4b0d23ce4c9ff46,61.50466130475493,23.743002100201487,Theme Park Ride / Attraction,"Tampere, Finland"
Tornado,4df8b76b62847bdf4fed0b08,61.505525829216054,23.74638305615097,Theme Park Ride / Attraction,"Tampere, Finland"
WFC,4e8d966b6c256406740408f4,61.50551046378278,23.764672405484728,Gym,"Tampere, Finland"
PowerHouse Gym,4df19efe45dd4e269338dbbc,61.50515218199118,23.763832926945966,Gym,"Tampere, Finland"
Sale,559eac26498eb56950aa6e0e,61.505286590036725,23.764934747512804,Grocery Store,"Tampere, Finland"
Fiilis Fitness,4cdac46e99026dcbbf5b0881,61.50510286609372,23.763851427289314,Gym,"Tampere, Finland"
Citysali,4f200640e4b057da8c61bfad,61.50503620604041,23.767560711200037,Gym,"Tampere, Finland"
Sale,4be82d85d837c9b6d8f8a406,61.50550489824894,23.776906866816248,Grocery Store,"Tampere, Finland"
Hotelli Kauppi,4b9f6678f964a520632037e3,61.505604623235996,23.785272447695732,Hotel,"Tampere, Finland"
Kolmiopuisto,51288768183f00352a3645bc,61.50565525229161,23.792889118194577,Park,"Tampere, Finland"
Bussipysäkki 5030,4f1d48fde4b0065cbca1f3d2,61.505,23.8009,Bus Stop,"Tampere, Finland"
Punkalaitumen apteekki,4ff696dfe4b0fe7c20cb0d85,61.5049966,23.8110039,Pharmacy,"Tampere, Finland"
Cafe Sirius,5028d95ce4b0d9e3ec587478,61.50581236554101,23.817338067181893,Cafeteria,"Tampere, Finland"
TAYS Kuntosali,4fe48d9be4b043458f61f361,61.50489121780143,23.815680681158145,Gym,"Tampere, Finland"
Bussipysäkki 2017,4e6102021495676d551b4ee1,61.503853457718535,23.705802496423264,Bus Stop,"Tampere, Finland"
Vastavirta-Klubi,4bc9c95ffb84c9b672941b3e,61.50463036181834,23.711947000855602,Music Venue,"Tampere, Finland"
Vaakon Nakki,4bd33ecf9854d13a3b46fd4d,61.50459212718873,23.71258408049146,Hot Dog Joint,"Tampere, Finland"
Bussipysäkki 1007,4f180b6ee4b092643852c231,61.504654863753814,23.71932841291088,Bus Stop,"Tampere, Finland"
Santalahden Skeittipaikka,4bd43f37caff9521815ad6f0,61.504362631193636,23.724766494973593,Skate Park,"Tampere, Finland"
Onkiniemen BMX-rata,4dd40e2bb0fbf653b64b92f3,61.504294613095894,23.72540166908984,Racetrack,"Tampere, Finland"
Koskiseikkailu,4e14724a88777cd5da33bd7e,61.50430479233982,23.740945143388487,Theme Park Ride / Attraction,"Tampere, Finland"
Koskigrilli,4fd70d62e4b0a3ceec04e8c3,61.503988,23.740393,Fast Food Restaurant,"Tampere, Finland"
Koiramäki,517a399ee4b0fc74f2a6fc7a,61.50368919671358,23.739916924061546,Theme Park Ride / Attraction,"Tampere, Finland"
Drakkulan linna,51cabcc8498eb06f0feb397d,61.50357055664063,23.73927116394043,Theme Park Ride / Attraction,"Tampere, Finland"
Superpark Särkänniemi,58834e3a9c439d0a27c3b36e,61.504036,23.741904,Theme Park Ride / Attraction,"Tampere, Finland"
Särkänniemi,4b4ee212f964a520c4f626e3,61.50457713910273,23.74320076183089,Theme Park,"Tampere, Finland"
Half Pipe,4fec483be4b0d8e5c8495ab9,61.50380689899482,23.740883141981765,Theme Park Ride / Attraction,"Tampere, Finland"
Näsinpuisto,4bc499abf8219c74ec91b710,61.503820806855316,23.750953649732185,Park,"Tampere, Finland"
Tiitiäisen satupuisto,4f77fc80e4b04368dd27de30,61.50364453260046,23.750106731039605,Playground,"Tampere, Finland"
Näsilinna,4dfb164e483b085eeda321ee,61.504157897790186,23.75262334557736,Historic Site,"Tampere, Finland"
Ravintola von Nottbeck,555def5a498e3f02096003c0,61.50388664015835,23.752625185556887,Restaurant,"Tampere, Finland"
PH-A Ilma-aseradat,50eb0b7ee4b0aa6e10802d26,61.50401084849682,23.775483932139203,Athletics & Sports,"Tampere, Finland"
Pub Harald,4d60257cb6b9a1cdfdec7751,61.504674769013604,23.787225917054638,Pub,"Tampere, Finland"
Hautalaakso,4fea0c09e4b0b581af09a701,61.5032,23.702605,Playground,"Tampere, Finland"
Tahmelan Ryytimaat,51b30f01498e2f0af3db05b9,61.50327969646683,23.707559570396576,Garden,"Tampere, Finland"
salalaituri,51f178bc498ea0e8db57895a,61.502848,23.702954,Scenic Lookout,"Tampere, Finland"
Pispalanharju,4d8e747f1716a143fb6633f7,61.50263954883871,23.715292082494827,Scenic Lookout,"Tampere, Finland"
Pispalan Pulteri,4bc826c48b7c9c74c7ab37cf,61.503432944321844,23.71699195232211,Restaurant,"Tampere, Finland"
Soppa Ja Soosi,4ffabbb5e4b05ae525880d81,61.50330222518712,23.717504432831856,Soup Place,"Tampere, Finland"
Elianderin uimaranta,4bf406f894af2d7fd0123a72,61.50351306342811,23.733480626377077,Beach,"Tampere, Finland"
von Guggelböö,53809527498ee3b991c90e04,61.503684,23.739565,Cafeteria,"Tampere, Finland"
Tassuteatteri,51cafd78498e2034eb87b5f7,61.50347900390625,23.739761352539066,Theater,"Tampere, Finland"
Mustalahti,4ba9ff7df964a520a9423ae3,61.50351567602725,23.74626159667969,Harbor / Marina,"Tampere, Finland"
Nääshalli,4cac6a97d971b1f7561730e1,61.50273745115194,23.74813167641183,Gym / Fitness Center,"Tampere, Finland"
Näsinkallion suihkukaivo,4e21d548d22d0a3f59fc423f,61.50284992406418,23.750348379890838,Fountain,"Tampere, Finland"
Tallipiha,4d5a45d6c88da1cdbf034368,61.503235124741174,23.75394206561211,Fair,"Tampere, Finland"
Suklaapuoti,504dd978e4b0c8862be8f6bb,61.5030379491384,23.75400002841762,Chocolate Shop,"Tampere, Finland"
