0,1,2,3,4
Sherlook's The Black Brook,5749a160cd10a714137da0f2,59.875916,17.632847,Pub
Gränbyparken,538b3b41498e7a14c99acbed,59.87657656531819,17.665929794311523,Park
Akademibokhandeln,4c31bd2a452620a10afc200f,59.87690038650222,17.673651569701267,Bookstore
Espresso House Gräby Centrum,594baad846e1b6358766fe80,59.876636,17.674021,Coffee Shop
Naked Juice Bar,4decf8ebd164bd989b19fe62,59.8764158089158,17.67363704565248,Juice Bar
Polarn O. Pyret,4f198e7de4b0338aee5783db,59.87624915777694,17.6738853808921,Kids Store
H&M Gränby,4c1390ab77cea59331f7ce60,59.87609450521025,17.673771329254926,Clothing Store
Stadium Gränby,4c4ef0afea24c9b660698016,59.876070942469774,17.673760554756146,Sporting Goods Shop
Barista,4c10bf9cf1b6a593ad507c27,59.876065585210476,17.67376597629337,Café
Åhléns,4c31bb6f452620a105fa200f,59.876065764218616,17.673801256091732,Department Store
Arge Kaj's Outlet,517ba10de4b0557456f8ec73,59.8763747792566,17.67734400101933,Clothing Store
K-rauta Sverige,4f5ca945e4b0a3bd23b373bf,59.874895,17.602539,Hardware Store
Svenska delikatesser,4f4fae86e4b0f7bd4dfe652e,59.87496088541182,17.627955698881358,Deli / Bodega
Löten IP Uppsala,4bdedef2ffdec92864e4e9a1,59.875470087414506,17.63786042844829,Track
Scandic Uppsala Nord,4b6bc2c1f964a520a6172ce3,59.8758454,17.641055999999935,Hotel
ICA Supermarket Tunabackar,4c718491376da0939e08a4c6,59.874455035876096,17.62432336807251,Grocery Store
Budohuset,4bb4ef770fb7b7130fb4bf8a,59.87453634931131,17.62465850386819,Martial Arts Dojo
Coop Konsum,4c83b9f274d7b60c6c098cd8,59.87470448699367,17.62398295585377,Grocery Store
Kantorsgatan (B),4ff710c3e4b01992aa91d4a3,59.87413531706113,17.64056996375465,Bus Station
Restaurang Shima,4d5940a74f9bcbffb862fd39,59.87441835185579,17.64347731519784,Pizza Place
Puls & Träning,58526236fad9dc30c6c2e410,59.873828154573395,17.65383738623314,Gym / Fitness Center
Nordisk film bio,5c06cd51c21cb1002c715605,59.875714,17.675006,Movie Theater
Normal,5bfc29bf92e7a9002ca674a4,59.875776,17.674626,Cosmetics Shop
Stenmans Ljungfrukammare,54df8f1e498e4e594c85e1f7,59.873038,17.668453,Beach Bar
